data_inicio,ano,mes,data_fim,ano_pmo,mes_pmo,numero_revisao,semana_operativa,id_modelo_usina,id_subsistema,subsistema,usina,custo_variavel_unitario
2022-06-25,2022,6,2022-07-01,2022,6,0,PMO Julho 2022,204,N,NORTE,JARAQUI,0
2022-06-25,2022,6,2022-07-01,2022,6,0,PMO Julho 2022,422,N,NORTE,MARAN_VL_7,489.4
2022-06-25,2022,6,2022-07-01,2022,6,0,PMO Julho 2022,73,N,NORTE,GERAMAR1,1326.92
2022-06-25,2022,6,2022-07-01,2022,6,0,PMO Julho 2022,436,N,NORTE,MARANIVL22,489.41
2022-06-25,2022,6,2022-07-01,2022,6,0,PMO Julho 2022,116,N,NORTE,PARNAIB_IV,151.69
2022-06-25,2022,6,2022-07-01,2022,6,0,PMO Julho 2022,207,N,NORTE,PONTA NEGR,0
2022-06-25,2022,6,2022-07-01,2022,6,0,PMO Julho 2022,212,N,NORTE,MARANHAO3,94.86
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,446,N,NORTE,N.VEN2_L22,257.06
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,205,N,NORTE,MANAUARA,0
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,73,N,NORTE,GERAMAR1,1242.53
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,209,N,NORTE,TAMBAQUI,0
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,447,N,NORTE,N.VEN2_L7,257.06
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,436,N,NORTE,MARANIVL22,386.91
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,437,N,NORTE,MARANIVL_7,386.9
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,422,N,NORTE,MARAN_VL_7,386.9
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,116,N,NORTE,PARNAIB_IV,151.69
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,204,N,NORTE,JARAQUI,0
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,70,N,NORTE,GERAMAR2,1242.53
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,176,N,NORTE,P. ITAQUI,821.16
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,203,N,NORTE,C. ROCHA,0
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,421,N,NORTE,MARAN_VL22,386.91
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,212,N,NORTE,MARANHAO3,94.86
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,201,N,NORTE,APARECIDA,183.51
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,207,N,NORTE,PONTA NEGR,0
2022-05-28,2022,5,2022-06-03,2022,5,0,PMO Junho 2022,140,N,NORTE,UTE MAUA 3,183.51
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,437,N,NORTE,MARANIVL_7,370.83
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,446,N,NORTE,N.VEN2_L22,257.06
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,116,N,NORTE,PARNAIB_IV,151.69
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,436,N,NORTE,MARANIVL22,370.84
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,140,N,NORTE,UTE MAUA 3,176.75
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,203,N,NORTE,C. ROCHA,0
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,205,N,NORTE,MANAUARA,0
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,73,N,NORTE,GERAMAR1,1410.97
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,212,N,NORTE,MARANHAO3,94.86
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,201,N,NORTE,APARECIDA,176.75
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,447,N,NORTE,N.VEN2_L7,257.06
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,209,N,NORTE,TAMBAQUI,0
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,176,N,NORTE,P. ITAQUI,1007.51
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,204,N,NORTE,JARAQUI,0
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,422,N,NORTE,MARAN_VL_7,370.83
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,207,N,NORTE,PONTA NEGR,0
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,421,N,NORTE,MARAN_VL22,370.84
2022-07-30,2022,7,2022-08-05,2022,7,0,PMO Agosto 2022,70,N,NORTE,GERAMAR2,1410.97
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,70,N,NORTE,GERAMAR2,1224.04
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,421,N,NORTE,MARAN_VL22,387.92
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,437,N,NORTE,MARANIVL_7,387.91
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,73,N,NORTE,GERAMAR1,1224.04
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,201,N,NORTE,APARECIDA,183.93
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,116,N,NORTE,PARNAIB_IV,151.69
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,436,N,NORTE,MARANIVL22,387.92
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,204,N,NORTE,JARAQUI,0
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,212,N,NORTE,MARANHAO3,94.86
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,422,N,NORTE,MARAN_VL_7,387.91
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,207,N,NORTE,PONTA NEGR,0
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,176,N,NORTE,P. ITAQUI,521.53
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,446,N,NORTE,N.VEN2_L22,257.06
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,140,N,NORTE,UTE MAUA 3,183.93
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,203,N,NORTE,C. ROCHA,0
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,209,N,NORTE,TAMBAQUI,0
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,447,N,NORTE,N.VEN2_L7,257.06
2022-02-26,2022,2,2022-03-04,2022,2,0,PMO Março 2022,205,N,NORTE,MANAUARA,0
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,73,N,NORTE,GERAMAR1,1135.76
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,203,N,NORTE,C. ROCHA,0
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,212,N,NORTE,MARANHAO3,94.86
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,205,N,NORTE,MANAUARA,0
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,209,N,NORTE,TAMBAQUI,0
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,204,N,NORTE,JARAQUI,0
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,116,N,NORTE,PARNAIB_IV,151.69
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,207,N,NORTE,PONTA NEGR,0
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,446,N,NORTE,N.VEN2_L22,257.06
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,447,N,NORTE,N.VEN2_L7,257.06
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,422,N,NORTE,MARAN_VL_7,340.72
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,437,N,NORTE,MARANIVL_7,340.72
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,201,N,NORTE,APARECIDA,164.07
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,176,N,NORTE,P. ITAQUI,479.77
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,140,N,NORTE,UTE MAUA 3,164.07
