data,hora,ano,mes,id_subsistema,subsistema,valor_demanda,usina_hidraulica_verificada,geracao_pequena_usina_hidraulica_verificada,geracao_usina_termica_verificada,geracao_pequena_usina_termica_verificada,geracao_eolica_verificada,geracao_fotovoltaica_verificada
2023-12-21,16:00:00,2023,12,S,SUL,1913384000000,1310158000000,149500,52100000000,7600,40800,260000
2023-12-21,20:00:00,2023,12,S,SUL,1732648000000,1341806000000,152990,52100000000,6600,49680,0
2023-12-21,11:00:00,2023,12,S,SUL,1860317000000,1165617000000,146800,52100000000,7300,23670,464800
2023-12-21,22:00:00,2023,12,S,SUL,1682808000000,1348003000000,153490,52100000000,6600,44410,0
2023-12-21,23:00:00,2023,12,S,SUL,1604952000000,1350833000000,152790,52100000000,6000,38210,0
2023-12-21,07:30:00,2023,12,S,SUL,1552441000000,1114541000000,147790,52100000000,7300,48770,194200
2023-12-21,15:30:00,2023,12,S,SUL,1918185000000,1311972000000,148890,52100000000,7100,39100,305800
2023-12-21,06:00:00,2023,12,S,SUL,1333464000000,1041764000000,149700,52100000000,5700,65610,45300
2023-12-21,10:30:00,2023,12,S,SUL,1839311000000,1185611000000,146800,52100000000,7100,25070,440800
2023-12-21,18:00:00,2023,12,S,SUL,1675219000000,1341501000000,151700,52100000000,6900,45210,68500
2023-12-21,04:30:00,2023,12,S,SUL,1271493000000,980193000000,149900,52100000000,6600,82680,0
2023-12-21,16:30:00,2023,12,S,SUL,1891168000000,1308742000000,150000,52100000000,7600,42140,212400
2023-12-21,03:00:00,2023,12,S,SUL,1279342000000,964142000000,150400,52100000000,6600,108580,0
2023-12-21,13:30:00,2023,12,S,SUL,1887838000000,1214638000000,147190,52100000000,7700,28620,442500
2023-12-21,00:30:00,2023,12,NE,NORDESTE,1317029000000,378981000000,8900,166080000000,49300,711390,0
2023-12-21,02:00:00,2023,12,NE,NORDESTE,1263742000000,229919000000,8800,124000000000,49400,696000,0
2023-12-21,23:00:00,2023,12,SE,SUDESTE,4870330000000,4266308000000,173400,499730000000,189210,900,0
2023-12-21,00:00:00,2023,12,SE,SUDESTE,4602618000000,4001632000000,170800,693430000000,195400,800,0
2023-12-21,01:30:00,2023,12,SE,SUDESTE,4275978000000,3972931000000,170300,526230000000,194700,700,0
2023-12-21,22:00:00,2023,12,SE,SUDESTE,5094498000000,4535761000000,174300,520230000000,190700,900,0
2023-12-21,05:00:00,2023,12,SE,SUDESTE,4046748000000,3502535000000,168400,520230000000,192200,600,700
2023-12-21,20:00:00,2023,12,SE,SUDESTE,5184897000000,4552628000000,174200,520230000000,190610,900,0
2023-12-21,14:30:00,2023,12,SE,SUDESTE,5390243000000,3962751000000,166400,520230000000,191010,800,841490
2023-12-21,18:30:00,2023,12,SE,SUDESTE,5001647000000,4412924000000,172600,520230000000,190590,900,11200
2023-12-21,10:30:00,2023,12,SE,SUDESTE,5225416000000,3665089000000,165300,520230000000,190510,700,966890
2023-12-21,11:30:00,2023,12,SE,SUDESTE,5264667000000,3638685000000,165400,520230000000,190800,700,1031990
2023-12-21,21:30:00,2023,12,SE,SUDESTE,5157532000000,4515775000000,174600,520230000000,190700,900,0
2023-12-21,09:00:00,2023,12,SE,SUDESTE,5009653000000,3708971000000,165400,520230000000,192300,700,720400
2023-12-21,02:30:00,2023,12,SE,SUDESTE,4148583000000,3826514000000,170000,520230000000,195010,700,0
2023-12-21,16:30:00,2023,12,SE,SUDESTE,5294577000000,4396626000000,168700,520230000000,190790,900,425800
2023-12-21,20:30:00,2023,12,SE,SUDESTE,5188104000000,4566522000000,174500,520230000000,190510,900,0
2023-12-21,12:00:00,2023,12,SE,SUDESTE,5256645000000,3556413000000,165600,520230000000,191400,700,1018900
2023-12-21,21:00:00,2023,12,SE,SUDESTE,5182128000000,4515349000000,174600,520230000000,190600,900,0
2023-12-21,13:00:00,2023,12,SE,SUDESTE,5339142000000,3752461000000,166100,520230000000,191890,800,980010
2023-12-21,19:30:00,2023,12,SE,SUDESTE,5188176000000,4574868000000,173700,520230000000,190390,900,0
2023-12-21,06:00:00,2023,12,SE,SUDESTE,4171807000000,3385675000000,168100,520230000000,193700,600,116800
2023-12-21,08:30:00,2023,12,SE,SUDESTE,4910150000000,3584409000000,165700,520230000000,192600,700,627500
2023-12-21,05:30:00,2023,12,SE,SUDESTE,4071455000000,3400891000000,168300,520230000000,192800,600,26600
2023-12-21,03:30:00,2023,12,SE,SUDESTE,4077546000000,3480644000000,169200,520230000000,195100,700,0
2023-12-21,16:00:00,2023,12,SE,SUDESTE,5394806000000,4313491000000,168000,520230000000,190800,900,558600
2023-12-21,07:30:00,2023,12,SE,SUDESTE,4618612000000,3524021000000,166900,520230000000,193200,700,439400
2023-12-21,04:00:00,2023,12,SE,SUDESTE,4072880000000,3611858000000,168800,520230000000,194200,700,0
2023-12-21,09:30:00,2023,12,SE,SUDESTE,5091597000000,3673065000000,165400,520230000000,191900,700,811610
2023-12-21,12:30:00,2023,12,SE,SUDESTE,5279496000000,3700015000000,166000,520230000000,191710,800,1003900
2023-12-21,02:00:00,2023,12,SE,SUDESTE,4205140000000,3903672000000,170100,520230000000,194810,700,0
2023-12-21,17:00:00,2023,12,SE,SUDESTE,5118800000000,4308400000000,170100,520230000000,190590,900,286510
2023-12-21,04:30:00,2023,12,SE,SUDESTE,4059637000000,3522469000000,168700,520230000000,192800,600,0
2023-12-21,11:00:00,2023,12,SE,SUDESTE,5250713000000,3567929000000,165300,520230000000,189800,700,1013420
2023-12-21,18:00:00,2023,12,SE,SUDESTE,4966462000000,4305552000000,171800,520230000000,191110,900,55200
2023-12-21,06:30:00,2023,12,SE,SUDESTE,4285150000000,3396618000000,168000,520230000000,194200,600,218800
2023-12-21,10:00:00,2023,12,SE,SUDESTE,5163327000000,3664895000000,165400,520230000000,191300,700,899700
2023-12-21,03:00:00,2023,12,SE,SUDESTE,4099008000000,3575580000000,169500,520230000000,195300,700,0
2023-12-21,07:00:00,2023,12,SE,SUDESTE,4459994000000,3401146000000,167500,520230000000,194100,700,335190
2023-12-21,19:00:00,2023,12,SE,SUDESTE,5130101000000,4525102000000,173100,520230000000,190390,900,700
2023-12-21,08:00:00,2023,12,SE,SUDESTE,4782957000000,3629610000000,166100,520230000000,192600,700,533400
2023-12-21,14:00:00,2023,12,SE,SUDESTE,5394069000000,3902627000000,166000,520230000000,190510,800,896700
2023-12-21,15:00:00,2023,12,SE,SUDESTE,5419379000000,4027437000000,167000,520230000000,191790,800,776100
2023-12-21,17:30:00,2023,12,SE,SUDESTE,5032054000000,4318633000000,170800,520230000000,190810,900,166600
2023-12-21,15:30:00,2023,12,SE,SUDESTE,5410658000000,4182948000000,167500,520230000000,191300,900,682480
2023-12-21,13:30:00,2023,12,SE,SUDESTE,5373657000000,3820575000000,166000,520230000000,191100,800,947290
2023-12-21,22:30:00,2023,12,SE,SUDESTE,5005131000000,4434397000000,173800,510230000000,190190,900,0
2023-12-21,01:00:00,2023,12,NE,NORDESTE,1299328000000,264848000000,8900,131390000000,49200,699290,0
2023-12-21,04:00:00,2023,12,NE,NORDESTE,1231226000000,221679000000,8700,123250000000,49700,799220,0
2023-12-21,14:00:00,2023,12,NE,NORDESTE,1452092000000,229693000000,8600,123250000000,48300,839090,453040
2023-12-21,07:00:00,2023,12,NE,NORDESTE,1221987000000,127100000000,8600,123250000000,49800,1033210,281940
2023-12-21,12:00:00,2023,12,NE,NORDESTE,1390204000000,127100000000,8500,123250000000,48900,881850,558210
2023-12-21,22:30:00,2023,12,NE,NORDESTE,1413717000000,229066000000,9200,123250000000,48400,1117440,0
2023-12-21,08:30:00,2023,12,NE,NORDESTE,1341596000000,127100000000,8500,123250000000,49500,1103370,417070
2023-12-21,15:30:00,2023,12,NE,NORDESTE,1445614000000,241604000000,8600,123250000000,48200,864580,285690
2023-12-21,18:00:00,2023,12,NE,NORDESTE,1348915000000,189393000000,9000,123250000000,48300,994290,90
2023-12-21,13:30:00,2023,12,NE,NORDESTE,1432588000000,207305000000,8600,123250000000,48500,844440,488210
2023-12-21,11:00:00,2023,12,NE,NORDESTE,1412976000000,127100000000,8500,123250000000,48700,938260,539880
2023-12-21,13:00:00,2023,12,NE,NORDESTE,1407807000000,200953000000,8600,123250000000,48800,853810,520880
2023-12-21,16:30:00,2023,12,NE,NORDESTE,1391525000000,189475000000,8700,123250000000,48100,909360,123880
2023-12-21,21:00:00,2023,12,NE,NORDESTE,1402287000000,352834000000,9200,123250000000,48300,1089480,0
2023-12-21,10:00:00,2023,12,NE,NORDESTE,1397431000000,172687000000,8500,123250000000,49200,1018300,521670
2023-12-21,23:30:00,2023,12,NE,NORDESTE,1376699000000,247207000000,9200,123250000000,48400,1126060,0
2023-12-21,12:30:00,2023,12,NE,NORDESTE,1388387000000,182069000000,8500,123250000000,49000,866010,549300
2023-12-21,04:30:00,2023,12,NE,NORDESTE,1219516000000,197706000000,8700,123250000000,49700,852550,0
2023-12-21,06:30:00,2023,12,NE,NORDESTE,1176331000000,181115000000,8600,123250000000,49800,978320,204610
2023-12-21,18:30:00,2023,12,NE,NORDESTE,1369092000000,180221000000,9100,123250000000,48200,1030300,90
2023-12-21,14:30:00,2023,12,NE,NORDESTE,1458417000000,238855000000,8600,123250000000,48300,839810,408310
2023-12-21,16:00:00,2023,12,NE,NORDESTE,1427326000000,246878000000,8600,123250000000,48200,885850,210510
2023-12-21,09:30:00,2023,12,NE,NORDESTE,1384555000000,173517000000,8500,123250000000,49300,1057320,495900
2023-12-21,10:30:00,2023,12,NE,NORDESTE,1411303000000,170601000000,8400,123250000000,48900,976220,536020
2023-12-21,17:30:00,2023,12,NE,NORDESTE,1332103000000,228547000000,8900,123250000000,48300,963400,9670
2023-12-21,19:00:00,2023,12,NE,NORDESTE,1367107000000,233859000000,9200,123250000000,48100,1061050,90
2023-12-21,19:30:00,2023,12,NE,NORDESTE,1361207000000,245931000000,9200,123250000000,48100,1081160,0
2023-12-21,15:00:00,2023,12,NE,NORDESTE,1455585000000,247648000000,8600,123250000000,48300,847620,353610
2023-12-21,07:30:00,2023,12,NE,NORDESTE,1269709000000,172658000000,8600,123250000000,49700,1084950,335270
2023-12-21,05:00:00,2023,12,NE,NORDESTE,1189410000000,170034000000,8600,123250000000,49500,892990,2900
2023-12-21,21:30:00,2023,12,NE,NORDESTE,1425114000000,356238000000,9200,123250000000,48400,1098250,0
2023-12-21,08:00:00,2023,12,NE,NORDESTE,1309713000000,172094000000,8600,123250000000,49700,1099070,376990
2023-12-21,09:00:00,2023,12,NE,NORDESTE,1366822000000,158211000000,8500,123250000000,49500,1086870,459540
2023-12-21,11:30:00,2023,12,NE,NORDESTE,1401793000000,165660000000,8500,123250000000,48800,905480,549500
2023-12-21,05:30:00,2023,12,NE,NORDESTE,1155637000000,221304000000,8600,123250000000,49700,917580,39010
2023-12-21,20:00:00,2023,12,NE,NORDESTE,1360010000000,251786000000,9200,123250000000,48200,1088220,0
2023-12-21,17:00:00,2023,12,NE,NORDESTE,1344001000000,237759000000,8800,123250000000,48100,937650,46290
2023-12-21,20:30:00,2023,12,NE,NORDESTE,1373502000000,253396000000,9200,123250000000,48300,1087290,0
2023-12-21,22:00:00,2023,12,NE,NORDESTE,1425986000000,238436000000,9200,123250000000,48400,1109700,0
2023-12-21,06:00:00,2023,12,NE,NORDESTE,1155823000000,192217000000,8600,123250000000,49800,940260,123840
2023-12-21,23:00:00,2023,12,NE,NORDESTE,1394092000000,247673000000,9200,123250000000,48400,1123700,0
2023-12-21,12:00:00,2023,12,N,NORTE,753958000000,340207000000,4700,214900000000,20900,32900,90000
2023-12-21,13:00:00,2023,12,N,NORTE,775866000000,348313000000,4700,214900000000,21000,33310,90100
2023-12-21,15:30:00,2023,12,N,NORTE,802469000000,419768000000,4700,214900000000,21100,36210,44100
2023-12-21,16:30:00,2023,12,N,NORTE,780748000000,493581000000,4700,214900000000,21000,36100,24200
2023-12-21,15:00:00,2023,12,N,NORTE,810584000000,389605000000,4700,214900000000,21100,36100,53800
2023-12-21,13:30:00,2023,12,N,NORTE,792481000000,349854000000,4700,214900000000,21000,34100,83700
2023-12-21,11:30:00,2023,12,N,NORTE,754586000000,349887000000,4700,214900000000,20800,33000,87000
2023-12-21,09:00:00,2023,12,N,NORTE,733156000000,354091000000,4700,214900000000,21000,26410,48900
2023-12-21,14:30:00,2023,12,N,NORTE,811274000000,355270000000,4700,214900000000,21000,35690,63200
2023-12-21,16:00:00,2023,12,N,NORTE,792167000000,469114000000,4700,214900000000,21000,36210,33700
2023-12-21,22:30:00,2023,12,N,NORTE,802103000000,449804000000,4900,214900000000,20800,38000,0
2023-12-21,10:30:00,2023,12,N,NORTE,754381000000,357574000000,4700,214900000000,20800,32000,76600
2023-12-21,18:30:00,2023,12,N,NORTE,751613000000,505919000000,4800,214900000000,20900,38000,600
2023-12-21,17:00:00,2023,12,N,NORTE,762344000000,440163000000,4800,214900000000,20900,36210,15600
2023-12-21,17:30:00,2023,12,N,NORTE,746213000000,458602000000,4800,214900000000,21000,36590,8800
2023-12-21,23:00:00,2023,12,N,NORTE,801571000000,442886000000,4800,214900000000,20700,37480,0
2023-12-21,20:30:00,2023,12,N,NORTE,774013000000,556014000000,4900,214900000000,20900,39210,0
2023-12-21,08:00:00,2023,12,N,NORTE,705545000000,362481000000,4700,214900000000,21000,23000,35500
2023-12-21,19:00:00,2023,12,N,NORTE,760993000000,521793000000,4800,214900000000,20900,38590,0
2023-12-21,08:30:00,2023,12,N,NORTE,719632000000,362602000000,4700,214900000000,21000,24790,43100
2023-12-21,11:00:00,2023,12,N,NORTE,755676000000,352884000000,4700,214900000000,20700,32790,82600
2023-12-21,14:00:00,2023,12,N,NORTE,804163000000,348350000000,4700,214900000000,20900,35000,72900
2023-12-21,20:00:00,2023,12,N,NORTE,768927000000,538348000000,4900,214900000000,20900,39210,0
2023-12-21,10:00:00,2023,12,N,NORTE,748347000000,353546000000,4700,214900000000,20800,30210,68200
2023-12-21,23:30:00,2023,12,N,NORTE,797405000000,427807000000,4800,214900000000,20600,37000,0
2023-12-21,09:30:00,2023,12,N,NORTE,741759000000,358869000000,4700,214900000000,20900,28210,57100
2023-12-21,19:30:00,2023,12,N,NORTE,766925000000,544387000000,4900,214900000000,20900,38900,0
2023-12-21,12:30:00,2023,12,N,NORTE,760371000000,348712000000,4700,214900000000,21000,33000,91200
